,Date,Canton,Cases,id,Population,CasesPer100k
385,2020-03-20,UR,7.0,3231,36433,19.21
386,2020-03-20,VD,1432.0,822,799145,179.19
387,2020-03-20,VS,282.0,401,343955,81.99
388,2020-03-20,ZG,48.0,3230,126837,37.84
389,2020-03-20,ZH,773.0,807,1520968,50.82
390,2020-03-21,AG,175.0,808,678207,25.8
391,2020-03-21,AI,3.0,3399,16145,18.58
392,2020-03-21,AR,22.0,3398,55234,39.83
393,2020-03-21,BE,418.0,3228,1034977,40.39
394,2020-03-21,BL,282.0,810,288132,97.87
395,2020-03-21,BS,299.0,809,194766,153.52
396,2020-03-21,FR,136.0,3235,318714,42.67
397,2020-03-21,GE,1262.0,820,495249,254.82
398,2020-03-21,GL,21.0,3233,40403,51.98
399,2020-03-21,GR,239.0,406,198379,120.48
400,2020-03-21,JU,49.0,817,73419,66.74
401,2020-03-21,LU,109.0,3229,409557,26.61
402,2020-03-21,NE,177.0,824,177964,99.46
403,2020-03-21,NW,33.0,3234,43223,76.35
404,2020-03-21,OW,19.0,3236,37841,50.21
405,2020-03-21,SG,137.0,813,507697,26.98
406,2020-03-21,SH,17.0,805,81991,20.73
407,2020-03-21,SO,58.0,816,273194,21.23
408,2020-03-21,SZ,56.0,3232,159165,35.18
409,2020-03-21,TG,56.0,806,276472,20.26
410,2020-03-21,TI,918.0,403,353343,259.8
411,2020-03-21,UR,12.0,3231,36433,32.94
412,2020-03-21,VD,1676.0,822,799145,209.72
413,2020-03-21,VS,359.0,401,343955,104.37
414,2020-03-21,ZG,48.0,3230,126837,37.84
415,2020-03-21,ZH,773.0,807,1520968,50.82
416,2020-03-22,AG,232.0,808,678207,34.21
417,2020-03-22,AI,3.0,3399,16145,18.58
418,2020-03-22,AR,26.0,3398,55234,47.07
419,2020-03-22,BE,418.0,3228,1034977,40.39
420,2020-03-22,BL,289.0,810,288132,100.3
421,2020-03-22,BS,358.0,809,194766,183.81
422,2020-03-22,FR,162.0,3235,318714,50.83
423,2020-03-22,GE,1417.0,820,495249,286.12
424,2020-03-22,GL,24.0,3233,40403,59.4
425,2020-03-22,GR,257.0,406,198379,129.55
426,2020-03-22,JU,51.0,817,73419,69.46
427,2020-03-22,LU,131.0,3229,409557,31.99
428,2020-03-22,NE,188.0,824,177964,105.64
429,2020-03-22,NW,36.0,3234,43223,83.29
430,2020-03-22,OW,20.0,3236,37841,52.85
431,2020-03-22,SG,163.0,813,507697,32.11
432,2020-03-22,SH,28.0,805,81991,34.15
433,2020-03-22,SO,68.0,816,273194,24.89
434,2020-03-22,SZ,70.0,3232,159165,43.98
435,2020-03-22,TG,75.0,806,276472,27.13
436,2020-03-22,TI,939.0,403,353343,265.75
437,2020-03-22,UR,12.0,3231,36433,32.94
438,2020-03-22,VD,1782.0,822,799145,222.99
439,2020-03-22,VS,432.0,401,343955,125.6
440,2020-03-22,ZG,48.0,3230,126837,37.84
441,2020-03-22,ZH,891.0,807,1520968,58.58
442,2020-03-23,AG,241.0,808,678207,35.53
443,2020-03-23,AI,4.0,3399,16145,24.78
444,2020-03-23,AR,30.0,3398,55234,54.31
445,2020-03-23,BE,470.0,3228,1034977,45.41
446,2020-03-23,BL,302.0,810,288132,104.81
447,2020-03-23,BS,376.0,809,194766,193.05
448,2020-03-23,FR,189.0,3235,318714,59.3
449,2020-03-23,GE,1509.0,820,495249,304.7
450,2020-03-23,GL,31.0,3233,40403,76.73
451,2020-03-23,GR,266.0,406,198379,134.09
452,2020-03-23,JU,57.0,817,73419,77.64
453,2020-03-23,LU,156.0,3229,409557,38.09
454,2020-03-23,NE,204.0,824,177964,114.63
455,2020-03-23,NW,39.0,3234,43223,90.23
456,2020-03-23,OW,25.0,3236,37841,66.07
457,2020-03-23,SG,200.0,813,507697,39.39
458,2020-03-23,SH,30.0,805,81991,36.59
459,2020-03-23,SO,104.0,816,273194,38.07
460,2020-03-23,SZ,73.0,3232,159165,45.86
461,2020-03-23,TG,81.0,806,276472,29.3
462,2020-03-23,TI,1165.0,403,353343,329.71
463,2020-03-23,UR,22.0,3231,36433,60.38
464,2020-03-23,VD,2162.0,822,799145,270.54
465,2020-03-23,VS,492.0,401,343955,143.04
466,2020-03-23,ZG,62.0,3230,126837,48.88
467,2020-03-23,ZH,1068.0,807,1520968,70.22
468,2020-03-24,AG,266.0,808,678207,39.22
469,2020-03-24,AI,8.0,3399,16145,49.55
470,2020-03-24,AR,33.0,3398,55234,59.75
471,2020-03-24,BE,532.0,3228,1034977,51.4
472,2020-03-24,BL,306.0,810,288132,106.2
473,2020-03-24,BS,414.0,809,194766,212.56
474,2020-03-24,FR,219.0,3235,318714,68.71
475,2020-03-24,GE,1510.0,820,495249,304.9
476,2020-03-24,GL,33.0,3233,40403,81.68
477,2020-03-24,GR,276.0,406,198379,139.13
478,2020-03-24,JU,66.0,817,73419,89.89
479,2020-03-24,LU,205.0,3229,409557,50.05
480,2020-03-24,NE,230.0,824,177964,129.24
481,2020-03-24,NW,42.0,3234,43223,97.17
482,2020-03-24,OW,25.0,3236,37841,66.07
483,2020-03-24,SG,203.0,813,507697,39.98
484,2020-03-24,SH,32.0,805,81991,39.03
485,2020-03-24,SO,129.0,816,273194,47.22
486,2020-03-24,SZ,80.0,3232,159165,50.26
487,2020-03-24,TG,87.0,806,276472,31.47
488,2020-03-24,TI,1211.0,403,353343,342.73
489,2020-03-24,UR,25.0,3231,36433,68.62
490,2020-03-24,VD,2162.0,822,799145,270.54
491,2020-03-24,VS,544.0,401,343955,158.16
492,2020-03-24,ZG,72.0,3230,126837,56.77
493,2020-03-24,ZH,1211.0,807,1520968,79.62
494,2020-03-25,AG,266.0,808,678207,39.22
495,2020-03-25,AI,8.0,3399,16145,49.55
496,2020-03-25,AR,34.0,3398,55234,61.56
497,2020-03-25,BE,624.0,3228,1034977,60.29
498,2020-03-25,BL,306.0,810,288132,106.2
499,2020-03-25,BS,466.0,809,194766,239.26
500,2020-03-25,FR,219.0,3235,318714,68.71
501,2020-03-25,GE,1510.0,820,495249,304.9
502,2020-03-25,GL,33.0,3233,40403,81.68
503,2020-03-25,GR,322.0,406,198379,162.32
504,2020-03-25,JU,66.0,817,73419,89.89
505,2020-03-25,LU,205.0,3229,409557,50.05
506,2020-03-25,NE,230.0,824,177964,129.24
507,2020-03-25,NW,42.0,3234,43223,97.17
508,2020-03-25,OW,25.0,3236,37841,66.07
509,2020-03-25,SG,228.0,813,507697,44.91
510,2020-03-25,SH,34.0,805,81991,41.47
511,2020-03-25,SO,129.0,816,273194,47.22
512,2020-03-25,SZ,80.0,3232,159165,50.26
513,2020-03-25,TG,96.0,806,276472,34.72
514,2020-03-25,TI,1354.0,403,353343,383.2
515,2020-03-25,UR,25.0,3231,36433,68.62
516,2020-03-25,VD,2162.0,822,799145,270.54
517,2020-03-25,VS,544.0,401,343955,158.16
518,2020-03-25,ZG,80.0,3230,126837,63.07
519,2020-03-25,ZH,1363.0,807,1520968,89.61
